0,CombatZoneResize,133,251,508,391,TLResume,,
0,HeartTeleport,320,376,,,,,
0,HeartMode,1,,,,,,
0,TLPause,,,,,,,
0,BoneStab,0,175,0,10,,,,
0,BoneStab,2,175,0,10,,,,
0,BoneStab,3,90,0,10,,,,
0.2,BoneVRepeat,128,257,95,0,180,15,110
0,BoneVRepeat,128,366,20,0,180,15,110
0,BoneVRepeat,503,257,95,2,180,15,110
0,BoneVRepeat,503,366,20,2,180,15,110
1,BoneStab,1,20,0,0,,,,
0.6,BoneStab,1,20,0,0,,,,
0.6,BoneStab,1,20,0,0,,,,
0.6,BoneStab,1,20,0,0,,,,
0.6,BoneStab,1,20,0,0,,,,
0.6,BoneStab,1,20,0,0,,,,
0.6,BoneStab,1,20,0,0,,,,
0.6,BoneStab,1,20,0,0,,,,
0.6,BoneStab,1,20,0,0,,,,
0.6,BoneStab,1,20,0,0,,,,
0.6,BoneStab,1,20,0,0,,,,
0.6,BoneStab,1,20,0,0,,,,
0.6,BoneStab,1,20,0,0,,,,
0.6,BoneStab,1,20,0,0,,,,
0.6,BoneStab,1,20,0,0,,,,
2,EndAttack,,,,,


